Location,Equipment,Name,Code,Category,Include,Description,Image,URL
Storage Room Equipment,Primes BM+ Beam Profiler,BM Plus,BMON,Characterization,Yes,"Quick and reliable measurement of laser beam parameters, such as the spacial power density distribution and size of laser spot. Used to quantify the laser beam parameter and input to models for bead characteristics prediction. Used to find optimum working distance for laser and detect laser optics deterioration in high power lasers upto 20KW",BMON-primes-beam-profiler.png,
Characterization Lab,Charpy Broach,Broach,BRO1,Characterization,Yes,"Used to create the notch in Charpy V-Notch testing. This equipment is essential to impact testing which provides impact properties of materials, and it is used in industry where impact testing in required.",,https://metallurgicalsupplies.com/charpy-testing-supplies-and-equipment/charpy-broaching-supplies/charpy-v-notch-and-u-notch-broaches/2mm-v-notch-standard-broach-62hrc-hard-coated-certificate-included/
Characterization Lab,Charpy Broach Ultra Hard,Broach Hard,BRO2,Characterization,Yes,"This broach is used to create the notch in Charpy V-Notch testing for materials with higher hardnesses. This equipment is essential to impact testing which provides impact properties of materials, and is used in industry where impact testing in required.",,https://metallurgicalsupplies.com/charpy-testing-supplies-and-equipment/charpy-broaching-supplies/charpy-v-notch-and-u-notch-broaches/2mm-v-notch-standard-broach-80hrc-extra-hard-coated-certificate-included/
Manufacturing,Band Saw,Bandsaw,BSAW,Welding,No,,,
Welding,Bug-O Welding Track,Bug-O,BUGO,Welding,No,,,
Storage Room Equipment,DMMCheck Plus Multi-Function Calibration Reference,Calibration,CALI,Characterization,Yes,The DMMCheck Plus Multi-Function Calibration Reference is a precision voltage and current reference designed to calibrate measurement instruments.,CALI-dmmcheck-calibration-reference.jpg,
Storage Room Equipment,Cavitar Cavilux HF 810nm 500W laser,Cavitar,CAVI,Characterization,Yes,"The CAVILUX HF is a versatile and powerful pulsed diode laser light source designed for high-speed illumination in scientific and industrial applications. It operates at either 640 nm (visible) or 810 nm (invisible), with an output power of up to 500 W coupled to a 1.5 mm diameter fiber. The laser offers precise illumination, camera synchronization, and compatibility with high-speed cameras.",CAVI-cavitar-cavilux-hf-810nm-500w-laser.jpg,
Welding,CNC Router,CNC,CNC,Welding,No,,,
Computation,COMSOL,COMSOL,COMS,Computer / Software,Yes,"General-purpose simulation software based on advanced numerical methods. The Model Builder includes all of the steps in the modeling workflow — from defining geometries, material properties, and the physics that describe specific phenomena to solving and postprocessing models for producing accurate results.	It is used to simulate designs, devices, and processes in all fields of engineering, manufacturing, and scientific research.",COMS-comsol-multiphysics.png,
Storage Room Equipment,Voltage Converter 220-110V,Voltage Converter,CON1,Characterization,No,,,
Storage Room Equipment,Isolation Transformer,Transformer,CON2,Characterization,No,,,
Welding,NI DAQ System USB-6351 #1,DATA AQ,DAQ1,Characterization,Yes,"As a multi-functional I/O device, this allows users to process signal data. With a variety of analog and digital inputs/outputs, it enables users to simplify measurements or even automate aspects of testing.	It's multifunctionality makes it useful anywhere advanced signal processing is required.",DAQ1-ni-daq-system-usb-6351.jpg,
Storage Room Equipment,NI DAQ System USB-6351 #2,DATA AQ,DAQ2,Characterization,No,,,
Characterization Lab,LN2 Dewar,Dewar,DEWA,Characterization,No,,,
Metallography,Presi Mecatome T180 Micro Cutter (Diamond Saw),Diamond cutter,DIAS,Characterization,Yes,Precision manual micro-cutting machine with the ability to section a large range of materials (from the hardest to the softest ones). Used for sectioning medium sized samples from a wide variety of materials obtaining the ideal size of samples to study. The ideal size of sample can easily study with metallographic analysis to obtain the properties and identify possible defects in the material itself. ,DIAS-presi-mecatome-t180-diamond-saw.png,
Welding,Diffusible Hydrogen Clamp,Hydrogen clamp,DIFH,Welding,Yes,Designed to be used to create weldments in accordance to ISO 3690 / AWS A4.3	Ensures results are comparable to academic and industry data obtained through the same standards.	Post-weld hydrogen levels must be beneath a threshold level to prevent hydrogen cracking.,DIFH-hydrogen-clamp.jpg,
Characterization Lab,Linseis Dilatometer L78 R.I.T.A.,Dilatometer,DILA,Characterization,Yes,With a dilatometer it is possible to study the different deformation diagrams of a sample. A key point in welding study is the cooling rates and resulting microstructures process that can be studied with this machine.	Knowing cooling rates and final microstructure is used to know the final behaviours of piecces and so it affects the design.,DILA-linseis-dilatometer-l78.jpg,
Manufacturing,Drill Press,Drill Press,DPR,Welding,No,,,
Metallography,Servo 1433 Drill Press,Servo Drill,DPR2,Characterization,No,,,
Manufacturing,Handheld Electric Drill,Drill Press,DRIL,Welding,No,,,
Welding,Miller Dynasty 700,Dynasty,DYNA,Welding,Yes,"The Miller Dynasty 700 is a AC/DC, compact TIG welding machine suitable for various industrial applications, including precision metal fabrication, heavy manufacturing, maintenance and repair, pipe and tube manufacturing, aerospace, and TIG automation.",,
Metallography,ELRON Mini Counter M-30,Mini Counter,ELRO,Characterization,No,,,
Metallography,Fischione 110 Electro-Polisher,Electro Polisher,EPOL,Characterization,Yes,"Electrolytic thinning of conductive materials is an effective method of quickly producing specimens for transmission electron microscopy (TEM) without any induced artifacts. In the Model 110 Twin-Jet Electropolisher, twin jets simultaneously polish both sides of the sample, creating electron transparent specimens within a few minutes. With this equipment it is possible to make phase identification in high strength steels, Characterize nano-precipitates as also the grain and dislocation structure.",EPOL-fischione-110-electro-polisher.png,
Welding,Lincoln/Fanuc Robot S455,Fanuc,FANU,Welding,Yes,The Lincoln Electric Power Wave 455M/STT is a welding system that can be connected to a FANUC robot.,FANU-lincoln-fanuc-robot-s455.png,
Storage Room Equipment,"Optical Filters (Bandpass, Wavepass, Polarizer, NDP etc.)",Filters,FILT,Characterization,No,,,
Welding,Firefly Orbital Welding System,Firefly,FIRE,Welding,Yes,"Used as a tool in the semi-automatic welding of internal and external tubular structures. Firefly is able to produce highly consistent welding, cutting and bevelling results in all positions. With a high level of adaptability, this tool helps welders improve productivity while producing consistent results.",FIRE-firefly-orbital-welding-system.jpg,
Storage Room Equipment,Flir A6751sc Thermal Camera,FLIR,FLIR,Characterization,Yes,"The FLIR A6751sc thermal imaging camera is a high-performance, high-speed thermal camera. The camera features a high-resolution detector that provides excellent image quality and temperature measurement accuracy.",FLIR-flir-a6751sc-thermal-camera.png,
Storage Room Equipment,Primes FM+ Beam Profiler,FM Plus,FMON,Characterization,Yes,"Quick and reliable measurement of laser beam parameters, such as the spacial power density distribution and size of laser spot. Used to quantify the laser beam parameter and input to models for bead characteristics prediction. Used to find optimum working distance for laser and detect laser optics deterioration in high power lasers (ISO 11146).",FMON-primes-beam-profiler.jpg,
Manufacturing,Gullco Electrode Stabilizing Oven,Electrode Furnace,FRNE,Welding,No,,,
Welding,Indumatic FSW,Frictionstir,FSW,Welding,Yes,"Indumatic’s Friction Stir Welding (FSW) equipment is designed for efficient and high-quality welding. The FSW tool consists of a rotating component with a shoulder and pin, which can vary in design (threaded, scrolled, fluted, or smooth) based on material thickness",FSW-induma-mill.png,
Metallography,Furnace - Carbolit Chamber Furnace #1,Furnace 1,FUR1,Welding,Yes,"Heating furnace for welded samples that reaches around 1150°C. It can be used for heat treatment of samples, or study the piece weight change due to organic matter or diffusible atoms. In industry this is also used to determine inorganic matter of differents mixtures of cement, coal and lime.",FUR1-carbolite-furnace.png,https://www.carbolite-gero.com/products/chamber-furnaces/
Metallography,Furnace - Carbolit Chamber Furnace #2,Furnace 2,FUR2,Welding,No,,,https://www.carbolite-gero.com/products/chamber-furnaces/
Metallography,Vulcan 3-550 Furnace,Black Furnace,FUR3,Characterization,Yes,Used to heat up materials until 1100°C to study the behavior of them at different temperatures. It complies with ASTM D36174. Useful to study heating curves and dilation of materials. Small scale furnace to characterize materials under different temperatures regimens,FUR3-vulcan-furnace.jpg,
Computation,Geomagic,Geomagic,GEOM,Computer / Software,Yes,"Geomagic Design X is a comprehensive reverse engineering software that combines history-based CAD with 3D scan data processing. Geomagic Design X enables the creation of accurate CAD models from 3D scans, using a combination of automatic and guided solid model extraction.",GEOM-geomagic.jpg,
Manufacturing,Handheld Grinder,Grinder,GRI,Welding,No,,,
Storage Room Equipment,Hard Drive Backups,Hard Drive Backups,HDD1,Computer / Software,No,,,
Metallography,Buehler SimpliMet 1000 Hot Mount,Hot Mount,HOTM,Characterization,Yes,"Traditional automatic mounting press machine that uses hot compression system for making mounting metal samples. Used to make mounting metal samples in thermosetting resins, which protects and preserves edges and surface defects during preparation steps and provides excellent sample quality	The samples are essential to study the material itself, and from them all the information is obtain through microscope or different kind of tests. ",HOTM-buehler-simplimet-1000-hot-mount.png,
Welding,Hitachi Hotwire,Hotwire,HOTW,Welding,Yes,"Used to resistively heat simultaneous secondary wire feed. Incorporating the use of hot-wire feed into arc welding processes helps stabilize the arc by reducing magnetic arc blow. It also reduces the nominal heat input to the primary wire at the torch. In all welding positions, it can significantly bolster productivity rates while reducing heat input to the weld metal.",HOTW-hitachi-hotwire.png,
Characterization Lab,Instron Instrumented Impact Tester CEAST 9350,Impact Tester,IMPA,Characterization,Yes,"Used to perform puncture resistance tests, compression after impact tests, tensile impact tests, adhesive peel impact tests, three point bending tests, and component tests. The impact tester provides mechanical properties of materials as input or validation for predictive tools.	Used in qualifying welds to meet required codes and standards.",IMPA-ceast-9350-drop-tower-impact-system.jpg,https://www.instron.com/en-us/products/testing-systems/impact-systems/drop-weight-impact-testing-machine
Storage Room Equipment,Electrical Isolator,Isolator,ISO1,Characterization,No,,,
Computation,JMatPro,JMAT,JMAT,Computer / Software,Yes,"JMatPro is used to calculate a wide range of materials properties for alloys, particularly to make calculations for thermo-physical, physical, and chemical properties, and phase transformations.	The software provides extensive validation of the models to ensure sound predictions of the properties.",JMAT-jmatpro.jpg,
Laserlab,KUKA KR16 / DKP-450,KUKA,KUKA,Welding,Yes,8-axis robotic arm and positioner system suitable for repetitive industrial tasks with a 16 kg payload. 	Used to operate a 9 KW laser cladding system. Kuka provides a friendly programming ecosystem that allows implementation of a parametric programming technique for repair purpose.,KUKA-kuka-kr16-dkp-450.png,
Computer,Lenovo Thermal Camera Laptop,Thermal camera laptop,LAP1,Computer / Software,No,,,
Computer,ASUS ThermoCalc Laptop,Thermocal laptop,LAP2,Computer / Software,No,,,
Computer,ASUS Laptop,Golden Laptop,LAP3,,,,,
Computer,Toshiba Laptop - HSV,Toshiba,LAP4,,,,,
Computer,Dell Thermal Arc Control - HSV,Dell Thermal Arc,LAP5,,,,,
Welding,Lathe Table,Lathe table,LATH,Welding,No,,,
Computer,Lab Computers,Lab computer,LCOX,Computer / Software,No,,,
Manufacturing,Laser Distance Meter,laser meter,LDIS,Welding,No,,,
Metallography,Leco CV-50 Cut off saw,Old Cut Off,LECO,Characterization,No,,,
Welding,Liburdi Hotwire MIG System,Liburdi,LIHW,Welding,Yes,Automatic MIG welding system designed by Liburdi Dimetrics.,LIHW-liburdi-hotwire-mig-system.jpg,
Welding,LJ Pipe Manipulator,Piperotator,LJ1,Welding,No,,,
Laserlab,"Laserline LDF9000-40 fiber-coupled diode laser, 9kW, with wavelength selector, 2-colour pyrometer",Laserline,LLIN,Welding,Yes,"A high efficiency fiber-coupled diode laser system in the 960-1060 nm wavelength. Used to generate high power heat source for laser cladding and laser heat treatment applications with the ability to closed-loop control with peak temperature sensing. Used for cost-effective, efficient and reliable laser welding, cladding and heat-treatment applications.",LLIN-laserline-ldf9000-40.jpg,
Metallography,Nikon Eclipse MA200 Inverted Microscope,Microscope,MIC1,Characterization,Yes,"Used for optical contrast method such as  brightfield, and differential interference contrast (DIC) without the need for sample leveling.	Study different defects in metal surfaces, it also allows to identify the crystal grain boundaries in metal alloys and metallurgical material inspection in general. An inverted microscope is useful to decide which materials are stable enough for specific purposes and is also use as a form of quality assurance.",MIC1-nikon-eclipse-inverted-microscope.jpg,
Characterization Lab,Optical Microscope (5-133),Upstairs Microscope,MIC2,Characterization,No,,,
Storage Room Equipment,Phantom miro eX4 High Speed Camera (colour),Miro,MIRO,Characterization,Yes,"Compact and lightweight digital camera that enables the capture of high quality, slow-motion images.",MIRO-phantom-ex4.png,
Manufacturing,Mini Lathe King KG-8712MI,Mini lathe,MLAT,Welding,Yes,Performs subtractive manufacturing to give workpieces the shape needed. We use this machine to create samples for characterization.,MLAT-mini-lathe-king-kg-8712mi.jpg,
Welding,Miller Millermatic 212,Millermatic,MMAT,Welding,Yes,"The Millermatic 212 Auto-Set is a versatile MIG welding system by Miller Electric. It offers an amperage range of 30–210 A, with a rated output of 160 A at 24.5 VDC and a 60% duty cycle. The system supports both MIG (GMAW) and flux-cored (FCAW) processes.",MMAT-miller-millermatic-212.png,
Computer,6 Monitors HP 1920x1080,Monitors,MON1,,Computer / Software,No,,
Laserlab,2 Monitors AOC,Monitors,MON10,,Computer / Software,No,,
Computer,6 Monitors HP 1920x1080,Monitors,MON2,,Computer / Software,No,,
Computer,6 Monitors HP 1920x1080,Monitors,MON3,,Computer / Software,No,,
Computer,6 Monitors HP 1920x1080,Monitors,MON4,,Computer / Software,No,,
Computer,6 Monitors HP 1920x1080,Monitors,MON5,,Computer / Software,No,,
Computer,6 Monitors HP 1920x1080,Monitors,MON6,,Computer / Software,No,,
Computer,2 Monitors Philips 241E1S 24 in 1920x1080,Monitors,MON7,Computer / Software,No,,,
Computer,2 Monitors Philips 241E1S 24 in 1920x1080,Monitors,MON8,Computer / Software,No,,,
Laserlab,2 Monitors AOC,Monitors,MON9,,Computer / Software,No,,
Computation,Octopuz,Octopuz,OCTO,Computer / Software,Yes,Offline programming software used to simulate and program the workflow of robotic equipment.	It can easily import commands from CAM software to verify robot work paths. Can implement different welding strategies with its offline path-sensitive software to optimize manufacturing processes.,OCTO-octopuz.jpg,
Characterization Lab,Bruker Galileo G8,ONH,ONH,Characterization,Yes,"High precision quantification of total hydrogen, oxygen and nitrogen in metals. Used on assessment of welding consumables, study of hydrogen transport and diffusivity. Quantifying oxygen in weldments and study of nitrogen in duplex stainless. This chromatographer is useful to study the viability of a material in a high hydrogen environment concentration. It can be used to study the pipelines repurposing and the life expectancy.",ONH-Bruker-Galileo-G8.jpg,https://www.bruker.com/en/products-and-solutions/elemental-analyzers/cs-onh-analyzers/g8-galileo.html
Metallography,Leco Vari/Pol VP-150 Polisher,Old Polisher,OPOL,Characterization,No,,,
Laserlab,Oscilloscope,Oscilloscope,OSCI,Characterization,No,,,
Manufacturing,Oxyacetylene Setup,Oxyacetylene,OXY,Welding,No,,,
Welding,Miller PipePro 450RFC,PipePro,PIPE,Welding,Yes,"The Miller PipePro 450 RFC is a versatile multiprocess welding power source. It supports various welding processes, including MIG (GMAW), pulsed MIG (GMAW-P), flux-cored (FCAW), TIG (GTAW), stick (SMAW), and air carbon arc (CAC-A) cutting and gouging.",PIPE-miller-pipepro-450rfc.jpg,
Manufacturing,Miller Spectrum 2050,Plasmacutter,PLAS,Welding,Yes,The Miller Spectrum 2050 is an industrial plasma cutting and gouging system.,PLAS-miller-spectrum-2050.jfif,
Storage Room Equipment,Primes Power Meter CPM-F10,Power Meter,POWM,Characterization,Yes,High precision measuring device for industrial laser. Used to quantify effective laser power and loss of laser power through different optics medium.	Can detect degradation of diode lasers and laser optics. ,POWM-primes-cpm-f10.jpg,
Computation,KUKA PRC,KUKA PRC,PRC,Computer / Software,Yes,"Software tool connect Rhino/Grasshopper to KUKA robots. This software allows fully parametrical control over the robots, and is used in architecture and artistic installations.",PRC-kuka-prc.jpg,
Welding,Plasmastar PTAW with 230 MV and 400 MV torch,PTA,PTA,Welding,Yes,High power CNC plasma arc welder for welding up to 400A with powdered filler material. Powder-based filler materials allows us to experiment with custom metallurgy in overlays. Common use in industry of this type of equipment includes high speed overlay or keyhole joint welding.,PTA-plasmastar-ptaw.png,
Laserlab,Simple Powermeter,power puck,PUCK,Characterization,No,,,
Manufacturing,Roper Whitney Sample Punch,Punch,PUNC,Characterization,Yes,Easy-use machine to obtain different shapes samples from 1/16 to 9/16 in.	Used  to obtain coupons that fit the Galileo G8 crucibles for posterior characterization. Used in industry to punch holes or obtain different samples sizes to fit the required experiments.,PUNC-roper-whitney-sample-punch.jpg,
Computation,Rhino 6.0,Rhino,RHIN,Computer / Software,Yes,"CAD software that specializes in complex geometries and model applications. It can create, edit and analyze a variety of 3D model formats including solids, surfaces, point clouds, meshes and NURBS curves. Not only can it model, but with appropriate plug-ins such as Grasshopper, it can play an integral role in automating the virtual analysis of real-world industry parts.",RHIN-rhino6.jpg,
Computation,RoboDK,RoboDK,ROBO,Computer / Software,Yes,"RoboDK is a powerful and cost-effective simulator for industrial robots and robot programming. It allows users to program robots offline, eliminating production downtime caused by shop floor programming. The software provides tools for simulation, offline programming, and automated tool calibration.",ROBO-robodk.jpg,
Characterization Lab,Hardness Tester - Wilson Rockwell 2000,Rockwell,ROCK,Characterization,Yes,Semi-automated high precision hardness measurement of different shape pieces. Study the effect in hardness of different powder mixtures in the welded surfaces. Characterize hardness pieces allowing the repeatability and reproducibility of the experiments.,ROCK-hardness-tester-rockwell-2000.png,https://www.buehler.com/ca/products/hardness-testing/rockwell-hardness-testers/wilson-rh2150-hardness-tester/
Welding,Lincoln S500 with variable polarity module,S500,S500,Welding,Yes,"Can perform Stick, DC TIG, Pulsed DC TIG, MIG, Pulsed MIG, Flux-Cored processes. Provides an extremely fast arc response, includes over 65 standard welding waveforms for optimized performance.	Exceptional welding performance with high power factor and efficiency for welding thicker materials",S500-lincoln-s500.jpg,
Welding,Lincoln ACDC 1000 + Gantry,Subarc,SAW,Welding,Yes,"The Lincoln Electric Power Wave® AC/DC 1000SD Advanced Submerged Arc Welder is an industry-leading machine for submerged arc welding. The software-driven AC, DC positive, or DC negative output provides advanced control over deposition rate and penetration, resulting in increased weld speeds, consistently higher quality welds, and improved efficiency. The machine also offers automatic polarity switching, multi-arc configuration, advanced connectivity, and severe-duty reliability.",SAW-lincoln-acdc-1000.jpg,
Metallography,Denver Instrument Scale S-2000,Lab Scale,SCA1,Characterization,No,,,
Computer,Server / License Server Optiplex 980,Server,SERV,Computer / Software,No,,,
Manufacturing,Surface Grinder,Surface Grinder,SGRI,Welding,No,,,
Manufacturing,Metal Bench Shear,Shear,SHEA,Characterization,No,,,
Computation,MSC Simufact Forming,Simufact Forming,SIMF,Computer / Software,Yes,"Simulation tool for metal forming manufacturing processes. Can determine the optimal number and sequence of stages and process window with minimal material usage.	Save material, time, tool life and money by replacing expensive and time-consuming physical testing with virtual testing.",SIMF-simufact-forming.jfif,
Computation,MSC Simufact Welding,Simufact,SIMU,Computer / Software,Yes,"Welding software used to model and optimize a variety of thermal joining processes, taking into account the orientation. It can predict phase transformations in the heat-affected zone, thus helps understand the weld structure in the HAZ. Simufact Welding succeeds in realistically predicting the distortions and residual stresses that occur during welding.",SIMU-simufact-welding.jpg,
Metallography,Nikon SMZ 745T Stereomicroscope,Stereomicroscope,SMIC,Characterization,Yes,"Optical microscope designed for low magnification observation of a sample with 7.5x zoom and 115 mm working distance. Used to study the surfaces of solid samples, and observe fracture surfaces and to inspect larger objects such as small mechanical pieces, and minerals.	They are essential in the preparation of samples for light microscopy and the two microscopes complement each other.",SMIC-nikon-smz-745t-stereomicroscope.png,
Storage Room Equipment,Sony Mirrorless Camera A6500,Sony camera,SONY,Characterization,No,,,
Storage Room Equipment,Ocean Optics Spectrometer,Spectrometer,SPEC,Characterization,Yes,"The Ocean Optics Spectrometer covers UV, visible, and near-infrared wavelengths.",SPEC-ocean-optics-spectrometer.png,
Manufacturing,Miller MSW Spotwelder,Miller Spotwelder,SPT1,Welding,Yes,"The Miller MSW Series is a lightweight, air-cooled spot welder designed for portability and ease of operation. It provides a quick and effective means for spot welding mild, galvanized, or stainless materials.",SPT1-miller-msw-spotwelder.jpg,
Characterization Lab,HotSpot II Heavy Duty Thermocouple Spotwelder,Thermocouple Spotwelder,SPT2,Welding,Yes,The spotwelder allows to permanently attach Thermocouples. The weld helps to keep the thermocouple on the right spot and have better readings.,SPT2-hotspot-ii-heavy-duty-thermocouple-spotwelder.jpg,https://catalog.dcccorporation.com/item/thermocouple-welders-2/hs2/20-a10120r?plpver=1003
Metallography,HL-WD Dental Spot Welder,Dental Spot Welder,SPT3,Welding,Yes,"Perform a spot weld on thin plates of metal. In car manufacturing, many joints are made by a spot weld, due to it's velocity and effectiveness.",SPT3-hl-wd-dental-spot_welder.jpg,
Welding,Stud Welder TRW,Stud Welder,STUD,Welding,Yes,"Arc welds metal ""studs"" onto the base plate material with controller burst current. We use this to study various stud welding techniques and material combinations and their effectiveness. Used across industries for affixing any kind of stand off, bolt, or other stud type piece onto a base matterial. Commonly used for threaded connections, PCB standoffs, and many automotive parts.",STUD-stud-welder.jpg,
Welding,Miller SyncroWave 200,Syncrowave,SYNC,Welding,Yes,"The Miller Electric Syncrowave 200 is a TIG/stick welding power source designed for various applications. It features squarewave output with adjustable AC balance for aluminum welding, preventing tungsten spitting and arc rectification.",SYNC-miller-syncrowave-200.png,
Characterization Lab,Sign-In Tablet 1 - Amazon Fire7,Entrance Tablet 1,TAB1,Computer / Software,No,,,
Welding,Sign-In Tablet 2 - Amazon Fire7,Entrance Tablet 2,TAB2,Computer / Software,No,,,
Welding,Sign-In Tablet 3 - Amazon Fire7,Entrance Tablet 3,TAB3,Computer / Software,No,,,
Laserlab,Sign-In Tablet 4 - Amazon Fire7,Entrance Tablet 4,TAB4,Computer / Software,No,,,
Metallography,Sign-In Tablet 5 - Amazon Fire7,Entrance Tablet 5,TAB5,Computer / Software,No,,,
Metallography,Chemical Inventory Tablet 1 - Amazon Fire7,Inventory Tablet Downstairs,TAB6,Computer / Software,No,,,
Characterization Lab,Chemical Inventory Tablet 1 - Amazon Fire7,Inventory Tablet Upstairs,TAB7,Computer / Software,No,,,
Welding,ThermalArc SP4000W / 500SP,Thermalarc,TARC,Welding,Yes,"The Thermal Arc PowerMaster 400SP and 500SP are versatile welding systems designed for various applications. They offer features like adjustable voltage change-over, menu-driven controls, and compatibility with MIG, pulse GMAW, and stick welding.",TARC-thermalarc-sp4000w.jpg,
Computation,ThermoCalc,Thermocalc,TCAL,Computer / Software,Yes,Thermocalc is used to predict and understand materials properties. It allows to generate computational materials data and is used to make predictions of material behaviour throughout the materials life cycle. 	The software helps with improved decision making and improved material processing conditions with accurate and reliable materials data.,TCAL-thermocalc.png,
Laserlab,Thermach AT-1210 Powder Feeder,Thermach,THER,Welding,Yes,"Rotating scoop delivers powder into the feed line for laser clading. Also allows for heating and mixing of powders to reduce moisture. We use this equipment to deliver powder to laser cladding experiments, heater and quick change design allows for more repeatable experiments. Heated high volume rotary feeders give industry operations the capability for consistent quality welds with quick turnaround.",THER-thermach-at-1210.jpg,https://www.thermach.com/product-page/at-1210
Manufacturing,Tormach PCNC 770M CNC,Tormach,TORM,Welding,Yes,Medium size CNC Milling machine for general purpose machining. We use this machine for the rapid production of custom parts for experimental setups as well as production of charpy samples. In-House machining capabilities allows for rapid deployment of new designs and fixtures to machines.,TORM-tormach-pcnc-770m.png,https://tormach.com/machines/mills/770m.html
Manufacturing,Tablesaw,Tablesaw,TSAW,Welding,No,,,
Welding,Torch Standoff Controller,Standoff,TSCO,Welding,No,,,
Manufacturing,Tungsten Grinder MR- 13W (yellow),Yellow Tungsten Grinder,TUN1,Welding,No,,,
Manufacturing,Tungsten Grinder TWECO (black),Tungsten Grinder,TUN2,Welding,No,,,
Computation,Transvalor Transweld,Transweld,TWEL,Computer / Software,Yes,"TRANSWELD software, developed by Transvalor, is used for predicting the thermomechanical behavior of assemblies during welding processes. It integrates multi-physical models to simulate the real behavior of metal in liquid, mushy, and solid states, allowing for a comprehensive analysis of material evolution. ",TWEL-transvalor-transweld.jpg,
Storage Room Equipment,Phantom V 210 High Speed Camera (colour),V210,V210,Characterization,Yes,"The Phantom V210 is a one-megapixel digital high-speed camera designed for capturing fast events. It can take over 2000 frames per second (fps) at full 1280 x 800 resolution and up to 300,000 fps at reduced resolution.",V210-phantom-camera.png,
Manufacturing,Shop Vacuum - Dry - Mastervac 4HP 30L,Shop Vac Dry,VACD,Characterization,No,,,
Manufacturing,Shop Vacuum - Wet,Shop Vac Wet,VACW,Characterization,No,,,
Storage Room Equipment,Phantom VEO1310 High Speed Camera (monochrome),VEO,VEO,Characterization,Yes,"The Phantom VEO 1310 is an advanced high-speed camera featuring a custom 1.2-megapixel CMOS sensor, achieving recording speeds of over 10,800 frames per second (fps) at full resolution and even higher rates at reduced resolutions.",VEO-phantom-veo1310-camera.png,
Characterization Lab,Hardness Mapper - Wilson Tukon 2500 Vickers,Vickers,VICK,Characterization,Yes,Fully automated high precision hardness quantification of a broad spectrum of materials. Used to create hardness maps and study the hardness of carbides inserted on the material matrix. Useful to determine if a material meets the minimum industrial requirements for selling and distribution regarding depth and width.,VICK-hardness-mapper-wilson-tukon-2500-vickers.png,
Computer,VM Computer Threadripper,VM Computer,VMCO,Computer / Software,No,,,
Computation,vrWeld,vrWeld,VRWE,Computer / Software,Yes,"VR Weld is a welding simulator designed to immerse students in the welding profession, simulating and gamifying the welding environment using Oculus hardware.",VRWE-vrweld.png,
Computation,VXelements,VXelements,VXE,Computer / Software,Yes,3D scanning software platform that works in complete synergy with the entire fleet of Creaform's 3D measurement solutions. VXelements is able to manipulate coordinates of 3D scans to user specification enabling to sync with robot coordinates and generate inspection report of mismatch between objects. Industrial use includes quality check ability for manufacturing process using tight measurement capability.,VXE-vxelements.png,
